Thời gian,,Tốc độ tập chân,Tốc độ tập tay,Moment,Độ chính xác,Trợ lực
12/6/2021 8:59:25 PM,,28,00,3.38,50.3%,0
12/6/2021 9:00:00 PM,,20,00,2.13,52.4%,54.1
12/6/2021 9:02:46 PM,,20,00,2.13,52.5%,52.4
12/6/2021 9:02:46 PM,,20,00,2.13,51.5%,51.7
12/6/2021 9:02:46 PM,,20,00,2.13,52.9%,52.2
12/6/2021 9:02:46 PM,,25,00,3.83,51.4%,0
12/6/2021 9:02:46 PM,,25,00,3.83,50.8%,0
12/6/2021 9:02:46 PM,,25,00,3.83,53.8%,0
12/6/2021 9:02:46 PM,,25,00,3.83,51.7%,0
12/6/2021 9:02:46 PM,,25,00,3.83,54.3%,0
12/6/2021 9:02:46 PM,,25,00,3.83,54%,0
12/6/2021 9:02:46 PM,,25,00,3.83,50.2%,0
12/6/2021 9:02:46 PM,,28,00,3.38,54.9%,0
12/6/2021 9:02:46 PM,,28,00,3.38,54.1%,0
12/6/2021 9:02:46 PM,,28,00,3.38,53%,0
12/6/2021 9:02:46 PM,,28,00,3.38,51%,0
12/6/2021 9:02:46 PM,,28,00,3.38,50.6%,0
12/6/2021 9:02:46 PM,,28,00,3.38,53.9%,0
12/6/2021 9:02:46 PM,,29,00,3.00,51.4%,0
12/6/2021 9:02:46 PM,,29,00,3.00,54.5%,0
12/6/2021 9:02:46 PM,,29,00,3.00,51.2%,0
12/6/2021 9:02:46 PM,,29,00,3.00,54.8%,0
12/6/2021 9:02:46 PM,,29,00,3.00,53.7%,0
12/6/2021 9:02:46 PM,,29,00,3.00,53.9%,0
12/6/2021 9:02:46 PM,,28,00,3.80,52.1%,0
12/6/2021 9:02:46 PM,,28,00,3.80,50.3%,0
12/6/2021 9:02:46 PM,,28,00,3.80,51.5%,0
12/6/2021 9:02:46 PM,,28,00,3.80,54.2%,0
12/6/2021 9:02:46 PM,,28,00,3.80,53.4%,0
12/6/2021 9:02:46 PM,,28,00,3.80,50.4%,0
12/6/2021 9:02:46 PM,,20,00,2.23,55%,53.6
12/6/2021 9:02:46 PM,,20,00,2.23,50.1%,52
12/6/2021 9:02:46 PM,,20,00,2.23,50.6%,53.1
12/6/2021 9:02:46 PM,,20,00,2.23,51.5%,52.7
12/6/2021 9:02:46 PM,,20,00,2.23,50.5%,52.8
12/6/2021 9:02:46 PM,,20,00,2.23,52.8%,52.2
12/6/2021 9:02:46 PM,,29,00,2.55,50.2%,0
12/6/2021 9:02:46 PM,,29,00,2.55,50.1%,0
12/6/2021 9:02:46 PM,,29,00,2.55,52.9%,0
12/6/2021 9:02:46 PM,,29,00,2.55,51.3%,0
12/6/2021 9:02:46 PM,,29,00,2.55,51.3%,0
12/6/2021 9:02:46 PM,,29,00,2.55,50.5%,0
12/6/2021 9:02:46 PM,,28,00,3.41,50.2%,0
12/6/2021 9:02:46 PM,,28,00,3.41,53.4%,0
12/6/2021 9:02:46 PM,,28,00,3.41,51.8%,0
12/6/2021 9:02:46 PM,,28,00,3.41,53.2%,0
12/6/2021 9:02:46 PM,,28,00,3.41,52.9%,0
12/6/2021 9:02:46 PM,,28,00,3.41,50.1%,0
12/6/2021 9:02:46 PM,,21,00,3.40,51.6%,52.8
12/6/2021 9:02:46 PM,,21,00,3.40,53.3%,53.8
12/6/2021 9:02:46 PM,,21,00,3.40,54.8%,51.1
12/6/2021 9:02:46 PM,,21,00,3.40,52.8%,54.4
12/6/2021 9:02:46 PM,,21,00,3.40,51.7%,50.8
12/6/2021 9:02:46 PM,,21,00,3.40,50.4%,50
12/6/2021 9:02:46 PM,,24,00,3.30,50.9%,51.5
12/6/2021 9:02:46 PM,,24,00,3.30,50.7%,53.8
12/6/2021 9:02:46 PM,,24,00,3.30,52.6%,53.1
12/6/2021 9:02:46 PM,,24,00,3.30,52.9%,52.6
12/6/2021 9:02:46 PM,,24,00,3.30,52.9%,54
12/6/2021 9:02:46 PM,,24,00,3.30,52.1%,53.2
12/6/2021 9:02:46 PM,,25,00,3.68,54.2%,0
12/6/2021 9:02:46 PM,,25,00,3.68,52.7%,0
12/6/2021 9:02:46 PM,,25,00,3.68,51.6%,0
12/6/2021 9:02:46 PM,,25,00,3.68,50.7%,0
12/6/2021 9:02:46 PM,,25,00,3.68,50.8%,0
12/6/2021 9:02:46 PM,,25,00,3.68,52.4%,0
12/6/2021 9:02:46 PM,,20,00,3.80,53.1%,53.5
12/6/2021 9:02:46 PM,,20,00,3.80,53.7%,54
12/6/2021 9:02:46 PM,,20,00,3.80,53.6%,53.6
12/6/2021 9:02:46 PM,,20,00,3.80,52.1%,52.1
12/6/2021 9:02:46 PM,,20,00,3.80,53.7%,54.3
12/6/2021 9:02:46 PM,,20,00,3.80,52.2%,52.5
12/6/2021 9:02:46 PM,,29,00,3.35,54.7%,0
12/6/2021 9:02:46 PM,,29,00,3.35,50.6%,0
12/6/2021 9:02:46 PM,,29,00,3.35,52.9%,0
12/6/2021 9:02:46 PM,,29,00,3.35,53.9%,0
12/6/2021 9:02:46 PM,,29,00,3.35,53.2%,0
12/6/2021 9:02:46 PM,,29,00,3.35,52.5%,0
12/6/2021 9:02:46 PM,,23,00,2.12,52.4%,51.2
12/6/2021 9:02:46 PM,,23,00,2.12,52.9%,53.3
12/6/2021 9:02:46 PM,,23,00,2.12,52.6%,53.6
12/6/2021 9:02:46 PM,,23,00,2.12,53.2%,51.6
12/6/2021 9:02:46 PM,,23,00,2.12,51.9%,52.2
12/6/2021 9:02:46 PM,,23,00,2.12,54.4%,54.4
12/6/2021 9:02:46 PM,,24,00,3.61,53.5%,51.9
12/6/2021 9:02:46 PM,,24,00,3.61,50.5%,50.7
12/6/2021 9:02:46 PM,,24,00,3.61,52.9%,50.6
12/6/2021 9:02:46 PM,,24,00,3.61,52.1%,50.8
12/6/2021 9:02:46 PM,,24,00,3.61,51.2%,54.4
12/6/2021 9:02:46 PM,,24,00,3.61,51.1%,50.4
12/6/2021 9:02:46 PM,,20,00,2.63,52.9%,51
12/6/2021 9:02:46 PM,,20,00,2.63,50.3%,54.4
12/6/2021 9:02:46 PM,,20,00,2.63,53.8%,53.7
12/6/2021 9:02:46 PM,,20,00,2.63,52.9%,51
12/6/2021 9:02:46 PM,,20,00,2.63,54.6%,54.5
12/6/2021 9:02:46 PM,,20,00,2.63,52%,52.2
12/6/2021 9:02:46 PM,,21,00,2.41,54.3%,50.9
12/6/2021 9:02:46 PM,,21,00,2.41,51%,53.2
12/6/2021 9:02:46 PM,,21,00,2.41,51%,53.9
12/6/2021 9:02:46 PM,,21,00,2.41,51.8%,51.5
12/6/2021 9:02:46 PM,,21,00,2.41,51.7%,50.6
12/6/2021 9:02:46 PM,,21,00,2.41,53.2%,51.3
12/6/2021 9:02:46 PM,,29,00,2.27,50.4%,0
12/6/2021 9:02:46 PM,,29,00,2.27,55%,0
12/6/2021 9:02:46 PM,,29,00,2.27,54.3%,0
12/6/2021 9:02:46 PM,,29,00,2.27,53.6%,0
12/6/2021 9:02:46 PM,,29,00,2.27,51.1%,0
12/6/2021 9:02:46 PM,,29,00,2.27,54.7%,0
12/6/2021 9:02:46 PM,,27,00,2.48,54.1%,0
12/6/2021 9:02:46 PM,,27,00,2.48,54.9%,0
12/6/2021 9:02:46 PM,,27,00,2.48,53.2%,0
12/6/2021 9:02:46 PM,,27,00,2.48,50.5%,0
12/6/2021 9:02:46 PM,,27,00,2.48,52%,0
12/6/2021 9:02:46 PM,,27,00,2.48,50.3%,0
12/6/2021 9:02:46 PM,,23,00,2.32,53.9%,50.7
12/6/2021 9:02:46 PM,,23,00,2.32,50.7%,53.9
12/6/2021 9:02:46 PM,,23,00,2.32,53.5%,53.8
12/6/2021 9:02:46 PM,,23,00,2.32,54.5%,54.7
12/6/2021 9:02:46 PM,,23,00,2.32,54.5%,50.4
12/6/2021 9:02:46 PM,,23,00,2.32,54%,53.2
12/6/2021 9:02:46 PM,,29,00,3.20,53.6%,0
12/6/2021 9:02:46 PM,,29,00,3.20,51.8%,0
12/6/2021 9:02:46 PM,,29,00,3.20,54.7%,0
12/6/2021 9:02:46 PM,,29,00,3.20,53%,0
12/6/2021 9:02:46 PM,,29,00,3.20,51%,0
12/6/2021 9:02:46 PM,,29,00,3.20,54.6%,0
12/6/2021 9:02:46 PM,,22,00,3.84,54.3%,53.1
12/6/2021 9:02:46 PM,,22,00,3.84,53.3%,54.7
12/6/2021 9:02:46 PM,,22,00,3.84,50.1%,53.4
12/6/2021 9:02:46 PM,,22,00,3.84,53.6%,50.9
12/6/2021 9:02:46 PM,,22,00,3.84,53.7%,52.5
12/6/2021 9:02:46 PM,,22,00,3.84,52.2%,50.1
12/6/2021 9:02:46 PM,,21,00,2.11,52.8%,52.5
12/6/2021 9:02:46 PM,,21,00,2.11,51.7%,52.2
12/6/2021 9:02:46 PM,,21,00,2.11,50.9%,51
12/6/2021 9:02:46 PM,,21,00,2.11,52.7%,53.7
